space,label,x,y
semantic,周士爵,-1.8781,-2.923
semantic,周士爵,-1.6819,-1.1272
semantic,周士爵,-0.5784,-5.2287
semantic,周士爵,1.6018,-2.4573
semantic,周士爵,-4.7301,-0.3782
semantic,周士爵,-2.6261,-4.1888
semantic,周士爵,-3.6878,-3.9459
semantic,周士爵,-2.4228,-1.6473
semantic,周士爵,-2.4792,-4.0601
semantic,周士爵,-0.9173,-3.4789
semantic,周士爵,-1.9519,-4.2053
semantic,周士爵,-0.507,-1.0354
semantic,周士爵,-2.1548,-1.6154
semantic,周士爵,3.9481,-2.5383
semantic,周士爵,-4.816,-1.0965
semantic,周士爵,0.3264,-0.7283
semantic,周士爵,-3.6421,-2.4701
semantic,周士爵,2.4797,-2.0089
semantic,周士爵,-0.2903,-0.1906
semantic,HAS,-2.9338,-0.2036
semantic,HAS,0.664,0.9858
semantic,HAS,-1.7803,-0.8044
semantic,HAS,-3.2621,0.6102
semantic,HAS,-1.1951,1.388
semantic,HAS,-0.0511,5.6801
semantic,HAS,0.0179,-2.9291
semantic,HAS,3.8924,2.0801
semantic,HAS,2.2855,4.2063
semantic,HAS,4.0958,3.3639
semantic,HAS,-1.2775,-2.7182
semantic,HAS,-0.6582,2.6871
semantic,HAS,1.5631,1.5671
semantic,HAS,0.652,0.0102
semantic,HAS,1.282,1.3428
semantic,HAS,-2.5345,2.071
semantic,HAS,-3.118,0.5041
semantic,HAS,-4.0088,1.3805
semantic,HAS,2.9564,2.7744
semantic,HAS,-2.9564,2.6364
semantic,HAS,-1.8094,0.9041
semantic,HAS,2.2336,2.7285
semantic,HAS,1.1988,-2.8666
semantic,HAS,-2.3339,-0.9538
semantic,HAS,-2.8129,1.4393
semantic,HAS,1.4619,-3.5042
semantic,HAS,3.5183,3.0565
semantic,HAS,-0.6,4.9408
semantic,HAS,-2.7886,4.5415
semantic,HAS,-1.7234,-2.2741
semantic,HAS,-2.4868,2.513
semantic,HAS,1.7634,3.0938
semantic,HAS,0.9558,1.8125
semantic,HAS,0.0873,5.7712
semantic,HAS,0.5213,1.5209
semantic,HAS,0.4321,2.2356
semantic,HAS,-0.6736,2.9749
semantic,滇声气,0.0142,1.1595
semantic,滇声气,3.5983,2.2509
semantic,滇声气,3.0246,2.1737
semantic,滇声气,4.1948,3.1678
semantic,滇声气,2.4117,1.2946
semantic,滇声气,4.5456,1.4219
semantic,滇声气,3.8784,1.7548
semantic,滇声气,4.7504,1.4035
semantic,滇声气,4.394,1.7272
semantic,滇声气,5.1908,3.2536
semantic,滇声气,5.377,-1.549
semantic,滇声气,5.713,2.1419
semantic,滇声气,4.5915,2.394
semantic,滇声气,1.667,1.7233
semantic,滇声气,-2.1886,-3.0318
semantic,滇声气,2.5595,0.7144
semantic,滇声气,2.9134,1.1903
semantic,滇声气,3.7609,2.8544
semantic,滇声气,0.0005,-3.0327
semantic,滇声气,5.2024,-0.6792
semantic,滇声气,2.2293,1.7955
semantic,滇声气,-2.0548,-3.1078
semantic,滇声气,0.5972,0.0766
semantic,滇声气,3.3176,0.7896
semantic,滇声气,-1.7311,0.3469
semantic,滇声气,4.7421,2.0483
semantic,Kc,5.2456,2.5426
semantic,Kc,3.1517,1.3131
semantic,Kc,3.5926,1.3061
semantic,Kc,6.141,0.3374
semantic,Kc,-1.516,-1.1599
semantic,Kc,3.8158,3.8701
semantic,Kc,3.6786,4.616
semantic,Kc,0.6099,1.9102
semantic,Kc,0.7372,-0.4819
semantic,Kc,5.1012,-2.8781
semantic,Kc,-3.0149,-2.3052
semantic,Kc,-3.3544,1.8484
semantic,Kc,-2.9777,-0.8725
semantic,Kc,2.6306,1.6077
semantic,Kc,-4.1033,-1.5634
semantic,Kc,-4.5937,-2.5002
semantic,Kc,-3.7073,0.4065
semantic,Kc,2.7429,1.0628
semantic,Kc,5.4117,2.7501
semantic,Kc,2.2402,2.0694
semantic,Kc,-2.4281,-1.0921
semantic,Kc,-2.651,3.3847
semantic,Kc,3.3823,1.6362
semantic,Kc,6.4236,1.2207
semantic,Kc,4.0352,-3.4335
semantic,Kc,4.395,0.991
semantic,Kc,0.362,-2.0116
semantic,Kc,-4.1894,-1.2837
semantic,Kc,-4.8233,-1.9794
semantic,Kc,-0.7962,1.7072
semantic,Kc,0.7728,-2.311
semantic,Kc,-1.1911,3.8863
semantic,Kc,-0.7997,1.5826
semantic,Kc,-4.0698,0.5725
semantic,Kc,4.0095,2.6992
semantic,Kc,-3.7574,2.6026
semantic,Kc,-4.3606,-3.7143
semantic,Kc,2.9791,1.4962
semantic,Kc,-0.0647,-1.2672
semantic,Kc,-3.9095,-1.6382
semantic,Tangoz,2.7164,-2.4026
semantic,Tangoz,-0.9142,-0.3103
semantic,Tangoz,-0.6904,-0.216
semantic,Tangoz,4.2138,-1.4271
semantic,Tangoz,2.8079,0.1435
